change-speed,kilometer,price,shangpai-date,standard,title
0,13.02,20.0,5.75,5,14
0,1.69,25.0,1.5,6,14
0,0.27,35.5,0.16666666666666666,6,1
0,1.45,7.38,2.5833333333333335,5,28
0,7.33,14.0,3.6666666666666665,5,17
0,11.71,9.3,6.333333333333333,5,17
0,6.99,19.2,6.75,5,1
1,4.91,4.7,5.416666666666667,5,28
0,13.37,22.98,9.083333333333334,4,36
1,5.42,3.0,4.5,5,42
0,13.66,3.28,1.5,4,17
1,5.18,2.0,7.416666666666667,4,3
0,9.48,3.2,8.0,4,19
1,8.85,0.7,1.5,4,42
0,5.53,33.0,4.083333333333333,5,36
0,26.95,5.5,1.0833333333333333,3,4
0,12.27,2.98,9.166666666666666,5,19
0,3.74,7.5,2.6666666666666665,5,42
0,7.74,23.98,6.583333333333333,4,4
0,11.76,13.5,5.75,5,1
0,5.42,13.98,2.3333333333333335,6,7
0,6.26,2.6,8.083333333333334,5,3
0,3.8,12.2,5.083333333333333,5,49
0,6.72,4.8,8.083333333333334,4,18
0,7.96,23.3,3.0833333333333335,5,17
1,3.85,3.0,7.583333333333333,5,28
0,7.52,12.0,7.25,5,49
0,1.85,34.0,1.75,6,1
1,6.6,5.0,4.5,5,3
1,13.11,4.8,6.083333333333333,5,19
0,4.78,20.0,7.166666666666667,5,14
0,2.43,8.3,2.1666666666666665,6,42
0,10.11,64.0,4.5,5,5
0,14.81,12.8,4.083333333333333,5,14
1,12.66,1.9,9.5,4,28
0,7.82,45.0,3.3333333333333335,5,14
1,3.78,2.68,1.3333333333333333,6,43
0,7.09,10.3,4.666666666666667,5,23
0,13.63,4.88,1.0833333333333333,4,1
0,4.08,5.5,3.6666666666666665,5,41
0,8.73,7.88,4.75,5,28
0,17.94,9.5,8.25,4,19
1,4.89,2.2,5.333333333333333,5,3
0,0.88,7.98,2.3333333333333335,6,17
0,0.22,145.0,1.0833333333333333,6,5
0,2.98,26.0,3.5,5,1
0,4.34,4.8,5.166666666666667,5,42
0,4.55,10.6,2.1666666666666665,6,42
1,3.39,3.3,5.5,5,42
0,7.43,5.49,4.0,5,19
0,22.95,14.3,7.166666666666667,5,17
